datetime,city,state,citystate,country,shape,filename,full_filename,full_filename,duration_sec,duration_hm,comments,date posted,latitude,longitude
7/1/89 17:30,riyadh (saudi arabia),,,,diamond,ufo-diamond.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-diamond.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-diamond.png?raw=true"">",600,10m,I DID NOT SEE THE UFO IT SELF&#44 BUT I SAW THE PLACE IT LANDED IN 3 EVEN SPOTS BLACK LIKE IT WAS PLASTED OFF . THE STRANGE THINGS IS CLOT,3/4/03,24.711667,46.724167
8/26/07 19:54,riyadh (saudi arabia),,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",20,10-20 seconds,A green blinking light in Riyadh&#44 Saudi Arabia and then vanished,4/14/09,24.711667,46.724167
10/20/01 13:00,riyadh/ saudi arabia,,,,circle,ufo-circle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true"">",0,mid night,i have seen a 3 flying objects at the mid night while i was waching the moon. there description or the descreption of the ufo&#39s that i,12/5/01,24.711667,46.724167
4/8/13 23:35,dubai (uar),,,,formation,ufo-formation.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-formation.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-formation.png?raw=true"">",300,~5 minutes,Strange objects above Dubai&#44 United Arab Emirates.,4/12/13,25.047664,55.181741
2/11/11 20:00,dubai (u.a.r.),,,,triangle,ufo-triangle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-triangle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-triangle.png?raw=true"">",180,3 minutes,bright firey object in night sky over Dubai&#44 UAE that moved irradically,10/10/11,25.047664,55.181741
3/16/04 2:00,dubai (uae),,,,diamond,ufo-diamond.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-diamond.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-diamond.png?raw=true"">",120,2min,clear diamond shape thing with blue and orange light came close to land but did not land on it and vanished,3/17/04,25.047664,55.181741
9/13/02 22:00,dubai (uae),,,,changing,ufo-changing.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-changing.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-changing.png?raw=true"">",16,16 seconds,a flash movin slow at first&#44changes into a spherical shape&#44circles&#44races west&#44leavin behind a hazy greenish smoke trail,9/19/02,25.047664,55.181741
9/9/04 21:00,dubai (uae),,,,disk,ufo-disk.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-disk.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-disk.png?raw=true"">",15,15 secs,silver&#44 disk shaped object with lights surrounding edge of underside&#44 which hovered for about 15 secs.,9/29/04,25.047664,55.181741
5/6/06 12:00,dubai (united arab republic),,,,cigar,ufo-cigar.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-cigar.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-cigar.png?raw=true"">",10,10 sec,UFO discovered on photograph taken in the UAE,6/12/07,25.047664,55.181741
4/22/89 17:30,dubai,,,,flash,ufo-flash.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-flash.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-flash.png?raw=true"">",2,02 seconds,Green bright light flash,9/1/04,25.047664,55.181741
