SOURCE,geonames_ID,Name1,Name2,Name3,lat,long
geonames,292683,Arzanah,Arzanah,"Arzana,Arzanah,Jazirat `Ardanah,Jazīrat ‘Arḑānah",24.79389,52.56167
geonames,292114,Jazīrat aţ Ţawīlah,Jazirat at Tawilah,"Ghanadah,Ghanadha,Ghanādha,Ghanāḑah,Jazirat at Tawilah,Jazīrat aţ Ţawīlah",24.82442,54.74449
OSM,way/13649170,Zarkoh Island,جزيرة زركوه,جزيرة زركوه,24.8791479,53.0753079
geonames,290410,Zirkūh,Zirkuh,"Az Zarqa',Az Zarqā’,Jazirat Zarka,Jazirat Zirku,Jaztal Zarakkuh,Jaztal Zarakkūh,Jazīrat Zarkā,Jazīrat Zīrkū,Jezirat Zirko,Jezīrat Zirko,Zarakkawh,Zarakkuh,Zarqa,Zirko Island,Zirkuh,Zirkūh",24.88417,53.07222
geonames,291172,Qarnayn,Qarnayn,"Al Qarnain,Al Qarnayn,Jazirat al Qarnayn,Jazīrat al Qarnayn,Jezirat Qarnain,Karnain Island,Qarnayn,Qarnein",24.93528,52.84972
geonames,292259,Dayyīnah,Dayyinah,"Daiyina,Daiyinah Island,Dayyina,Dayyinah,Dayyīnah,Jazirat Diyina,Jazīrat Diyina,Jezirat Daiyinah",24.95917,52.39972
geonames,8469902,The Palm Jebel Ali,The Palm Jebel Ali,,25.00699,54.98823
OSM,relation/10016129,,,,25.0384455,55.053709
OSM,relation/6189034,,,,25.0813073,55.1354446
OSM,relation/13275811,,,,25.0922536,55.1305659
geonames,8469746,The Palm - Jumeirah,The Palm - Jumeirah,The Palm - Jumeirah,25.11499,55.13745
OSM,relation/1297972,Palm Jumeirah,نخلة الجميرة,نخلة الجميرة,25.1193724,55.1307418
OSM,relation/9290758,Palm Jumeirah - The Crescent,نخلة جميرا - الهلال,نخلة جميرا - الهلال,25.1277092,55.1515757
OSM,way/13649085,Das Island,جزيرة داس,جزيرة داس,25.1404286,52.8727958
geonames,292274,Dās,Das,"Das,Dās",25.15336,52.87505
OSM,way/333653372,,,,25.1877225,55.3285941
geonames,11886916,New Mexico,New Mexico,,25.20162,55.15157
OSM,relation/8402263,Mexico,المكسيك,المكسيك,25.2019245,55.1542372
geonames,11886917,Mexico,Mexico,,25.20209,55.15394
geonames,11886909,California,California,,25.20309,55.14327
OSM,relation/8360400,,Arizona,,25.2032267,55.1489747
geonames,11886912,Texas,Texas,,25.20456,55.15056
geonames,11886922,Rio de Janeiro,Rio de Janeiro,,25.20892,55.16795
OSM,relation/2695811,Lesotho,ليسوتو,ليسوتو,25.2148141,55.1830214
OSM,relation/6834319,Ivory Coast,ساحل العاج,ساحل العاج,25.2150319,55.1715078
OSM,relation/2695812,Mauritania,موريتانيا,موريتانيا,25.2153771,55.1678001
geonames,11886914,Antarctica,Antarctica,,25.21546,55.1904
OSM,relation/9807652,Jumeirah Bay Island,جزيرة خليج الجميرا,جزيرة خليج الجميرا,25.2155166,55.2329128
OSM,relation/2695813,Morocco,المغرب,المغرب,25.2164355,55.1656007
OSM,relation/2695815,Niger,النيجر,النيجر,25.2171234,55.1707586
OSM,relation/2695809,Mali,مالي,مالي,25.2174367,55.1686444
OSM,relation/2697712,Congo,كونغو,كونغو,25.2175125,55.1771374
OSM,relation/2697711,Central African Republic,جمهورية أفريقيا الوسطى,جمهورية أفريقيا الوسطى,25.2183563,55.1752804
geonames,11886910,Ireland,Ireland,,25.22138,55.15846
geonames,8469718,The World,The World,"Duenya Yapay Takimadalari,Dzuzur al-Alam,Dünya Yapay Takımadaları,Džuzur al-Álam,El Mon,El Món,La Mondo,Pasaulis,Quan gao The Gioi,Quần đảo Thế Giới,Svetut,The World,Vaerlden,Vilag-szigetek,Világ-szigetek,Världen,deo woldeu,dexa weild,jhan,shi jie qun dao,ulakam,Светът,העולם,جزائر عالم,جزر العالم,جهان,உலகம்,ദി വേൾഡ്,เดอะเวิลด์,მსოფლიოს კუნძულები,世界群島,더 월드",25.22231,55.17181
geonames,11886911,United Kingdom,United Kingdom,,25.22324,55.15977
OSM,relation/2696849,Syria,سوريا,سوريا,25.2262971,55.1679727
OSM,relation/2696850,Türkiye,تركيا,تركيا,25.2273636,55.1668499
geonames,11886921,Western Austrailia,Western Austrailia,,25.23004,55.1905
OSM,way/10504180,Sir Bu Nuair Island,جزیرة صیر بو نعیر,جزيرة صير بو نعير,25.2316479,54.2192302
geonames,11886920,Southern Austrailia,Southern Austrailia,,25.23268,55.19627
geonames,290741,Şīr Bū Nu‘ayr,Sir Bu Nu'ayr,"Jazirat Siri Bu Naybar,Jazīrat Sīrī Bū Naybar,Jezirat Sir Bu Na`air,Jezirat Sir Bu Na‘air,Sir Abu Nu`air,Sir Abu Nu`ayr,Sir Abu Nu‘air,Sir Bu Nu`air,Sir Bu Nu`ayr,Sir bu Na`air Island,Sīr bu Na‘air Island,Şīr Abū Nu‘ayr,Şīr Bū Nu‘ayr,Ṣīr Bū Nu‘air",25.23305,54.2181
OSM,relation/6843778,Bur Dubai,بر دبي,بر دبي,25.2356092,55.2871406
geonames,11886919,Northern Territory,Northern Territory,,25.23718,55.18809
geonames,11886918,Queensland,Queensland,,25.23792,55.19369
geonames,11886915,New South Wales,New South Wales,,25.23992,55.19986
OSM,relation/9852284,Pearl Jumeirah,لؤلؤة الجميرا,لؤلؤة الجميرا,25.2445165,55.258424
geonames,11886913,Japan,Japan,,25.24462,55.18425
OSM,way/395307466,Crescent Moon Island,جزيرة القمر,جزيرة القمر,25.306837,54.6584325
geonames,415000,Jazīrat al Ḩibāb,Jazirat al Hibab,"Jazirat al Hibab,Jazīrat al Ḩibāb",25.31556,55.36139
geonames,8469606,The Palm - Deira,The Palm - Deira,The Palm - Deira,25.31688,55.30604
OSM,relation/8122161,Deira Island,نخلة ديرة,نخلة ديرة,25.31793,55.3063894
OSM,way/148178859,,,,25.3335721,55.3786642
geonames,290743,Sīrat al Khawr,Sirat al Khawr,"Sirat al Khawr,Sīrat al Khawr",25.35326,56.37784
OSM,relation/9831163,,,,25.3595465,55.2316857
geonames,292594,Jazīrat Badīyah,Jazirat Badiyah,"Jazirat Badiyah,Jazīrat Badīyah",25.42865,56.36835
geonames,290431,Jazīrat Zawrah,Jazirat Zawrah,"Al-Zura,Al-Zūrā,Jazirat Zawrah,Jazīrat Zawrah,Zora Island",25.43778,55.46472
geonames,292081,Jazīrat al Ghubbah,Jazirat al Ghubbah,"Jazirat al Ghubbah,Jazīrat al Ghubbah",25.49218,56.36406
geonames,8052086,Jazīrat al Aki‘āb,Jazirat al Aki`ab,"Jazirat al Aki`ab,Jazīrat al Aki‘āb,جزيرة الأكعاب",25.54569,55.58337
geonames,8051690,Al Quram,Al Quram,"Al Quram,alqrm,القرم",25.54574,55.60049
OSM,node/1778287602,Jazirat Al Keabe,Jazirat Al Keabe,,25.5458532,55.5825382
geonames,8042643,As Saw,As Saw,"As Saw,alsw,السو",25.54818,55.56738
OSM,node/1778287708,Al Sow,Al Sow,,25.5490282,55.5692345
geonames,8051689,Al Ḩumayḑī,Al Humaydi,"Al Humaydi,Al Ḩumayḑī,alhmydy,الحميضي",25.5563,55.60935
OSM,node/1778288848,Al Ḩumayḑī,الحميضي,الحميضي,25.5580881,55.6094891
geonames,8051691,Al Shuwayrīyah,Al Shuwayriyah,"Al Shuwayriyah,Al Shuwayrīyah,alshwyryt,الشويرية",25.56116,55.59133
OSM,node/1778287797,Al Chewria,Al Chewria,,25.5613402,55.5920654
geonames,292080,Jazīrat al Ghallah,Jazirat al Ghallah,"Jazirat Ghallah,Jazirat al Ghallah,Jazirat al Ghubbah,Jazīrat Ghallah,Jazīrat al Ghallah,Jazīrat al Ghubbah,jzyrt alghlt,جزيرة الغلة",25.5618,55.57818
OSM,relation/13009285,Jazirat Al Ghallah,جزيرة الغلة,جزيرة الغلة,25.5666487,55.5779273
