SOURCE,geonames_ID,Name1,Name2,Name3,lat,long
geonames,292876,Al Fuţaysī,Al Futaysi,"Al Futaysi,Al Fuţaysī,Al-Futaisi,Fetaisi,Feteisi,Feteisī,Jabal Fataysah",24.36667,54.31667
geonames,292591,Ḩālat al Baḩrānī,Halat al Bahrani,"Al Bahrani Island,Al Bahrāni Island,Halat al Bahrani,Halet el Bahreini,Jazirat al Bahrani,Jazīrat al Baḩrānī,Ḩālat al Baḩrānī",24.38192,54.23019
geonames,292158,Furayjid,Furayjid,"Faraijdat,Fereijid,Furayjid,Furayjidat,Furayjidāt,North Faraydat",24.38239,51.70486
OSM,way/101373089,Al Halah Island,جزيرة الحالة,جزيرة الحالة,24.3828438,54.2298128
geonames,290738,South Faraydat,South Faraydat,"Faraijdat,Fereijid,South Faraydat,South Furayjidat,South Furayjidāt",24.38333,51.71667
geonames,398734,Jazīrat Umm al Ghumaghin,Jazirat Umm al Ghumaghin,"Jazirat Umm al Ghumaghin,Jazīrat Umm al Ghumaghin",24.38392,51.57664
OSM,way/13667615,,,,24.3865887,54.4298268
geonames,291924,Ḩālat al Ḩayl,Halat al Hayl,"Halat Haib,Halat Hail,Halat al Hayl,Halat al-Hil,Ḥālat al-Hīl,Ḩālat al Ḩayl",24.38887,53.42088
geonames,290561,Umm Jaşşār,Umm Jassar,"Umm Jassar,Umm Jaşşār,Umm Qasar,Umm Qassar,Umm Qaşār,Umm Qaşşār,`Umm Gassar,‘Umm Gaṣṣār",24.3914,52.77794
geonames,399420,Qasār Mal‘ab,Qasar Mal`ab,"Qasar Mal`ab,Qasār Mal‘ab",24.39167,51.53583
geonames,290597,Umm al Kurkum,Umm al Kurkum,"Umm Kirkum,Umm Kurkum,Umm al Kurkum",24.39273,52.76497
OSM,way/405325080,,,,24.3984546,54.3451948
geonames,292415,Abū as Sayāyīf,Abu as Sayayif,"Abu as Sayayif,Abū as Sayāyīf,Bu Al Sayaeef,Bu Sa'if,Bu Seyayeef,Bu al-Sayayif,Bu as Sayayif,Bū Sā’if,Bū al-Sayāyīf,Bū as Sayāyīf,Jazirat Bu Sayif,Jazīrat Bū Sāyif,abw alsyayyf,أبو السياييف",24.40603,54.39104
OSM,relation/9204488,Ghagha Island,جزيرة غاغة,جزيرة غاغة,24.4098567,51.5513609
OSM,node/1173981659,,Hodariyat Island,,24.4104209,54.3775314
geonames,292095,Ghashshah,Ghashshah,"Ghashsha,Ghashshah,Jazirat Ghasha,Jazīrat Ghashā,Rashid",24.41435,52.6504
geonames,292124,Ghāghah,Ghaghah,"Ghagha,Ghaghah,Ghara,Ghāghah,Jazair Ghagha,Jazair Ghara,Jazair Ghāra,Jezirat Ghara,Jezirat Ghára,Juzur Ghaghah,Juzur Ghāghah",24.41505,51.54964
OSM,relation/12743928,Hudariyat Island,جزيرة الحديريات,جزيرة الحديريات,24.4213133,54.3698254
geonames,291884,Al Ḩudayriyāt,Al Hudayriyat,"Al Hudayriyat,Al Ḩudayriyāt,Hidariat,Hudaeriyyat,Hudairiyyat,Hudayriyat,alhdyryat,الحديريات,Ḩudaeriyyāt,Ḩudayrīyāt",24.42604,54.34376
geonames,398614,Ḩālat Masum,Halat Masum,"Halat Masum,Ḩālat Masum",24.42778,52.30778
geonames,292125,Ghāghah,Ghaghah,"Ghagha,Ghaghah,Ghāgha,Ghāghah",24.43333,51.55
geonames,292287,Ḩālat Dalmā al Janūbīyah,Halat Dalma al Janubiyah,"Halat Dalma al Janubiyah,Ḩālat Dalmā al Janūbīyah",24.43333,52.3
geonames,398733,Jazīrat Khardal,Jazirat Khardal,"Jazirat Khardal,Jazīrat Khardal",24.43763,51.54526
geonames,292967,Jazīrat Abū Z̧aby,Jazirat Abu Zaby,"Abu Dhabi,Abu Zabi,Abū Z̧abī,Jazirat Abu Zaby,Jazīrat Abū Z̧aby",24.4378,54.40779
OSM,node/8131987589,Sas Al Nakhl Island,Sas Al Nakhl Island,جزيرة ساس النخل,24.4383983,54.5083235
OSM,way/873221108,Sas Al Nakhl Island,جزيرة ساس النخل,جزيرة ساس النخل,24.4423684,54.5080626
geonames,290587,Umm an Nār,Umm an Nar,"Jazirat Umm an Nar,Jazīrat Umm an Nār,Umm an Nar,Umm an Nār,`Umm al-Nar,am alnar,أم النار,‘Umm al-Nār",24.44248,54.50948
OSM,relation/9326280,Sas Al Nakheel,ساس النخل,ساس النخل,24.4437164,54.5079303
OSM,way/311918134,Al Seef Island,جزيرة السيف,جزيرة السيف,24.4470736,54.5842825
OSM,way/311917953,Al Seef Island,جزيرة السيف,جزيرة السيف,24.4485379,54.5899039
OSM,way/311916099,Al Seef Island,جزيرة السيف,جزيرة السيف,24.449996,54.5950014
OSM,node/1026551164,Coconut Island,جزيرة جوز الهند,جزيرة جوز الهند,24.4524048,54.3222544
geonames,292762,Al Qurayyah,Al Qurayyah,"Al Qurayyah,alqryt,القرية",24.45373,54.56
OSM,way/13664282,Horseshoe Island,جزيرة حدوة الحصان,جزيرة حدوة الحصان,24.4589705,54.2936269
OSM,way/161333516,Al Sammaliyyah Island,جزيرة السمالية,جزيرة السمالية,24.4598036,54.5295172
geonames,292785,Al Mubarraz,Al Mubarraz,"Al Mubarraz,Halat al Mubarras,Halat al Mubarraz,Hālat al Mubarras,Ḩālat al Mubarraz",24.46112,53.37326
geonames,389390,Jazīrat as Sammālīyah,Jazirat as Sammaliyah,"As Sammaliyah,As Sammālīyah,Jazirat as Sammaliyah,Jazīrat as Sammālīyah,jzyrt alsmalyt,جزيرة السمالية",24.46193,54.53069
OSM,node/1244058694,As Sammaliyyah Island,As Sammaliyyah Island,,24.4649938,54.5239791
geonames,291312,Mushayrib,Mushayrib,Mushayrib,24.46667,54.41667
OSM,relation/13027505,Jazīrat Abū Z̧aby,جزيرة أبو ظبي,جزيرة أبو ظبي,24.4688194,54.3940719
OSM,relation/6039796,Um Yifeenah Island,جزيرة أم يفينة,جزيرة أم يفينة,24.4724479,54.4546712
OSM,way/24293803,Bilrimaid Island,جزيرة بالرميد,جزيرة بالرميد,24.4788113,54.4798457
OSM,way/13648996,Dalma Island,دلما,دلما,24.4804907,52.3107993
OSM,relation/2535665,Yas Island,جزيرة ياس,جزيرة ياس,24.4864167,54.6030019
geonames,290571,Jazīrat Umm Yafīnah,Jazirat Umm Yafinah,"Jazirat Umm Yafinah,Jazīrat Umm Yafīnah,Umm Fiyin,Umm Fīyīn,jzyrt am yfynt,جزيرة أم يفينة",24.48752,54.45009
OSM,way/966638363,,,,24.4894613,51.7333384
OSM,way/394349907,Zeraa Island,جزيرة زِرعة,جزيرة زِرعة,24.4897632,54.5392443
OSM,node/8131987605,Al 'Oud Street,شارع العُود,شارع العُود,24.4916399,54.4106054
OSM,way/873221106,Al Reem Island,جزيرة الريم,جزيرة الريم,24.4923517,54.4081898
OSM,relation/4249069,Al Reem Island,جزيرة الريم,جزيرة الريم,24.4925022,54.4086852
geonames,8052376,Jazīrat Bū ash Sha‘ūm,Jazirat Bu ash Sha`um,"Jazirat Bu ash Sha`um,Jazīrat Bū ash Sha‘ūm,جزيرة بو الشعوم",24.49308,54.40819
OSM,node/8131987578,Yas Island,جزيرة ياس,جزيرة ياس,24.4940223,54.6073721
geonames,10227711,Yas Island,Yas Island,"AYM,Ile de Yas,Yas Island,Île de Yas",24.49784,54.60556
